                          Options
                          seed: 1122
                          batch_size: 1024
                          no_cuda: False
                          max_frames: 500000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 100
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 3
                          hidden_dim: 256
                          dueling: False
                          multi_step: 1
                          cce: False
                          env: SlimeVolley-v0
                          ram: False
                          negative: False
                          against_baseline: False
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 2000
                          lr: 0.0001
                          max_tag_interval: 3000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 1000000
                          cuda: True
                          device: cuda:0
[Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32)] [Discrete(6), Discrete(6), Discrete(6)]
(12,)
(12,)
Frame: 6000, Avg. RL Loss: nan, Avg. Length: 492.3, P0 Avg. Reward: -0.222, P1 Avg. Reward: 0.222
Frame: 12000, Avg. RL Loss: 0.007, Avg. Length: 536.2, P0 Avg. Reward: -1.167, P1 Avg. Reward: 1.167
Frame: 18000, Avg. RL Loss: 0.006, Avg. Length: 626.0, P0 Avg. Reward: -0.889, P1 Avg. Reward: 0.889
Frame: 24000, Avg. RL Loss: 0.006, Avg. Length: 494.2, P0 Avg. Reward: -1.400, P1 Avg. Reward: 1.400
Frame: 30000, Avg. RL Loss: 0.005, Avg. Length: 541.0, P0 Avg. Reward: 0.222, P1 Avg. Reward: -0.222
Frame: 36000, Avg. RL Loss: 0.005, Avg. Length: 537.0, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 42000, Avg. RL Loss: 0.005, Avg. Length: 522.2, P0 Avg. Reward: 0.750, P1 Avg. Reward: -0.750
Frame: 48000, Avg. RL Loss: 0.005, Avg. Length: 483.2, P0 Avg. Reward: -0.167, P1 Avg. Reward: 0.167
Frame: 54000, Avg. RL Loss: 0.005, Avg. Length: 575.7, P0 Avg. Reward: 0.667, P1 Avg. Reward: -0.667
Frame: 60000, Avg. RL Loss: 0.005, Avg. Length: 568.0, P0 Avg. Reward: -0.750, P1 Avg. Reward: 0.750
Frame: 66000, Avg. RL Loss: 0.005, Avg. Length: 665.7, P0 Avg. Reward: -0.111, P1 Avg. Reward: 0.111
Frame: 72000, Avg. RL Loss: 0.005, Avg. Length: 567.0, P0 Avg. Reward: 1.222, P1 Avg. Reward: -1.222
Frame: 78000, Avg. RL Loss: 0.005, Avg. Length: 546.8, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 84000, Avg. RL Loss: 0.005, Avg. Length: 561.5, P0 Avg. Reward: 0.000, P1 Avg. Reward: 0.000
Frame: 90000, Avg. RL Loss: 0.005, Avg. Length: 471.5, P0 Avg. Reward: 0.833, P1 Avg. Reward: -0.833
Frame: 96000, Avg. RL Loss: 0.005, Avg. Length: 551.7, P0 Avg. Reward: -1.000, P1 Avg. Reward: 1.000
Frame: 102000, Avg. RL Loss: 0.005, Avg. Length: 630.8, P0 Avg. Reward: -0.167, P1 Avg. Reward: 0.167
Frame: 108000, Avg. RL Loss: 0.006, Avg. Length: 547.7, P0 Avg. Reward: 1.889, P1 Avg. Reward: -1.889
Frame: 114000, Avg. RL Loss: 0.006, Avg. Length: 577.0, P0 Avg. Reward: 0.083, P1 Avg. Reward: -0.083
Frame: 120000, Avg. RL Loss: 0.006, Avg. Length: 517.8, P0 Avg. Reward: 0.583, P1 Avg. Reward: -0.583
Frame: 126000, Avg. RL Loss: 0.006, Avg. Length: 501.2, P0 Avg. Reward: -0.250, P1 Avg. Reward: 0.250
Frame: 132000, Avg. RL Loss: 0.006, Avg. Length: 466.7, P0 Avg. Reward: -1.222, P1 Avg. Reward: 1.222
Frame: 138000, Avg. RL Loss: 0.006, Avg. Length: 540.2, P0 Avg. Reward: 1.250, P1 Avg. Reward: -1.250
Frame: 144000, Avg. RL Loss: 0.007, Avg. Length: 551.0, P0 Avg. Reward: 0.500, P1 Avg. Reward: -0.500
Frame: 150000, Avg. RL Loss: 0.007, Avg. Length: 536.5, P0 Avg. Reward: 0.000, P1 Avg. Reward: 0.000
Frame: 156000, Avg. RL Loss: 0.007, Avg. Length: 543.3, P0 Avg. Reward: 0.000, P1 Avg. Reward: 0.000
Frame: 162000, Avg. RL Loss: 0.008, Avg. Length: 577.8, P0 Avg. Reward: 0.500, P1 Avg. Reward: -0.500
Frame: 168000, Avg. RL Loss: 0.009, Avg. Length: 500.3, P0 Avg. Reward: -0.778, P1 Avg. Reward: 0.778
Frame: 174000, Avg. RL Loss: 0.008, Avg. Length: 636.8, P0 Avg. Reward: 0.083, P1 Avg. Reward: -0.083
Frame: 180000, Avg. RL Loss: 0.008, Avg. Length: 579.0, P0 Avg. Reward: -0.111, P1 Avg. Reward: 0.111
Frame: 186000, Avg. RL Loss: 0.009, Avg. Length: 526.8, P0 Avg. Reward: -0.583, P1 Avg. Reward: 0.583
Frame: 192000, Avg. RL Loss: 0.009, Avg. Length: 561.7, P0 Avg. Reward: 0.667, P1 Avg. Reward: -0.667
Frame: 198000, Avg. RL Loss: 0.009, Avg. Length: 581.0, P0 Avg. Reward: 0.500, P1 Avg. Reward: -0.500
Frame: 204000, Avg. RL Loss: 0.008, Avg. Length: 616.3, P0 Avg. Reward: 0.667, P1 Avg. Reward: -0.667
Frame: 210000, Avg. RL Loss: 0.010, Avg. Length: 555.0, P0 Avg. Reward: 0.000, P1 Avg. Reward: -0.000
Frame: 216000, Avg. RL Loss: 0.010, Avg. Length: 501.5, P0 Avg. Reward: 0.167, P1 Avg. Reward: -0.167
Frame: 222000, Avg. RL Loss: 0.010, Avg. Length: 528.0, P0 Avg. Reward: 0.556, P1 Avg. Reward: -0.556
Frame: 228000, Avg. RL Loss: 0.010, Avg. Length: 599.5, P0 Avg. Reward: 0.833, P1 Avg. Reward: -0.833
Frame: 234000, Avg. RL Loss: 0.009, Avg. Length: 495.2, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 240000, Avg. RL Loss: 0.010, Avg. Length: 501.8, P0 Avg. Reward: -1.583, P1 Avg. Reward: 1.583
Frame: 246000, Avg. RL Loss: 0.010, Avg. Length: 660.7, P0 Avg. Reward: -0.444, P1 Avg. Reward: 0.444
Frame: 252000, Avg. RL Loss: 0.011, Avg. Length: 577.3, P0 Avg. Reward: -1.111, P1 Avg. Reward: 1.111
Frame: 258000, Avg. RL Loss: 0.011, Avg. Length: 539.2, P0 Avg. Reward: 0.167, P1 Avg. Reward: -0.167
Frame: 264000, Avg. RL Loss: 0.011, Avg. Length: 566.7, P0 Avg. Reward: -0.778, P1 Avg. Reward: 0.778
Frame: 270000, Avg. RL Loss: 0.011, Avg. Length: 489.2, P0 Avg. Reward: 0.333, P1 Avg. Reward: -0.333
Frame: 276000, Avg. RL Loss: 0.010, Avg. Length: 509.8, P0 Avg. Reward: 0.083, P1 Avg. Reward: -0.083
Frame: 282000, Avg. RL Loss: 0.011, Avg. Length: 564.3, P0 Avg. Reward: -1.333, P1 Avg. Reward: 1.333
Frame: 288000, Avg. RL Loss: 0.010, Avg. Length: 550.2, P0 Avg. Reward: -0.417, P1 Avg. Reward: 0.417
Frame: 294000, Avg. RL Loss: 0.010, Avg. Length: 544.0, P0 Avg. Reward: 1.083, P1 Avg. Reward: -1.083
Frame: 300000, Avg. RL Loss: 0.011, Avg. Length: 577.7, P0 Avg. Reward: -0.444, P1 Avg. Reward: 0.444
Frame: 306000, Avg. RL Loss: 0.010, Avg. Length: 552.0, P0 Avg. Reward: -0.500, P1 Avg. Reward: 0.500
Frame: 312000, Avg. RL Loss: 0.011, Avg. Length: 517.0, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
Frame: 318000, Avg. RL Loss: 0.010, Avg. Length: 536.3, P0 Avg. Reward: 0.556, P1 Avg. Reward: -0.556
Frame: 324000, Avg. RL Loss: 0.011, Avg. Length: 585.2, P0 Avg. Reward: -0.750, P1 Avg. Reward: 0.750
Frame: 330000, Avg. RL Loss: 0.011, Avg. Length: 525.0, P0 Avg. Reward: 0.556, P1 Avg. Reward: -0.556
Frame: 336000, Avg. RL Loss: 0.010, Avg. Length: 568.8, P0 Avg. Reward: -0.333, P1 Avg. Reward: 0.333
