                          Options
                          seed: 1122
                          batch_size: 1024
                          no_cuda: False
                          max_frames: 500000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 100
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 5
                          hidden_dim: 256
                          dueling: False
                          multi_step: 1
                          env: SlimeVolley-v0
                          ram: False
                          negative: False
                          against_baseline: True
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 3000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:0
[Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32)] [Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6)]
Frame: 50000, Avg. Reward: -3.680, Avg. RL Loss: 0.005, Avg. Length: 477.2
Frame: 100000, Avg. Reward: -3.581, Avg. RL Loss: 0.004, Avg. Length: 478.8
Frame: 150000, Avg. Reward: -3.573, Avg. RL Loss: 0.005, Avg. Length: 459.0
Frame: 200000, Avg. Reward: -3.536, Avg. RL Loss: 0.006, Avg. Length: 458.0
Frame: 250000, Avg. Reward: -3.629, Avg. RL Loss: 0.007, Avg. Length: 462.9
Frame: 300000, Avg. Reward: -3.467, Avg. RL Loss: 0.006, Avg. Length: 486.6
Frame: 350000, Avg. Reward: -3.610, Avg. RL Loss: 0.006, Avg. Length: 483.6
Frame: 400000, Avg. Reward: -3.457, Avg. RL Loss: 0.006, Avg. Length: 462.8
Frame: 450000, Avg. Reward: -3.491, Avg. RL Loss: 0.007, Avg. Length: 470.4
Frame: 500000, Avg. Reward: -3.718, Avg. RL Loss: 0.007, Avg. Length: 454.0
Frame: 550000, Avg. Reward: -3.533, Avg. RL Loss: 0.007, Avg. Length: 466.9
Frame: 600000, Avg. Reward: -3.443, Avg. RL Loss: 0.007, Avg. Length: 444.8
Frame: 650000, Avg. Reward: -3.524, Avg. RL Loss: 0.007, Avg. Length: 472.5
Frame: 700000, Avg. Reward: -3.543, Avg. RL Loss: 0.007, Avg. Length: 472.0
Frame: 750000, Avg. Reward: -3.364, Avg. RL Loss: 0.007, Avg. Length: 458.2
Frame: 800000, Avg. Reward: -3.533, Avg. RL Loss: 0.007, Avg. Length: 477.9
Frame: 850000, Avg. Reward: -3.370, Avg. RL Loss: 0.007, Avg. Length: 481.5
Frame: 900000, Avg. Reward: -3.530, Avg. RL Loss: 0.007, Avg. Length: 499.1
Frame: 950000, Avg. Reward: -3.619, Avg. RL Loss: 0.007, Avg. Length: 486.7
Frame: 1000000, Avg. Reward: -3.570, Avg. RL Loss: 0.008, Avg. Length: 495.1
Frame: 1050000, Avg. Reward: -3.438, Avg. RL Loss: 0.007, Avg. Length: 482.4
Frame: 1100000, Avg. Reward: -3.480, Avg. RL Loss: 0.007, Avg. Length: 501.0
Frame: 1150000, Avg. Reward: -3.438, Avg. RL Loss: 0.007, Avg. Length: 471.2
Frame: 1200000, Avg. Reward: -3.340, Avg. RL Loss: 0.007, Avg. Length: 489.9
Frame: 1250000, Avg. Reward: -3.490, Avg. RL Loss: 0.007, Avg. Length: 510.6
Frame: 1300000, Avg. Reward: -3.514, Avg. RL Loss: 0.007, Avg. Length: 483.8
Frame: 1350000, Avg. Reward: -3.474, Avg. RL Loss: 0.007, Avg. Length: 508.7
Frame: 1400000, Avg. Reward: -3.600, Avg. RL Loss: 0.007, Avg. Length: 489.0
Frame: 1450000, Avg. Reward: -3.418, Avg. RL Loss: 0.007, Avg. Length: 455.9
Frame: 1500000, Avg. Reward: -3.500, Avg. RL Loss: 0.008, Avg. Length: 494.1
Frame: 1550000, Avg. Reward: -3.520, Avg. RL Loss: 0.007, Avg. Length: 503.4
Frame: 1600000, Avg. Reward: -3.505, Avg. RL Loss: 0.008, Avg. Length: 478.5
Frame: 1650000, Avg. Reward: -3.290, Avg. RL Loss: 0.008, Avg. Length: 487.7
Frame: 1700000, Avg. Reward: -3.520, Avg. RL Loss: 0.008, Avg. Length: 498.1
Frame: 1750000, Avg. Reward: -3.520, Avg. RL Loss: 0.008, Avg. Length: 499.1
Frame: 1800000, Avg. Reward: -3.380, Avg. RL Loss: 0.008, Avg. Length: 505.6
Frame: 1850000, Avg. Reward: -3.362, Avg. RL Loss: 0.007, Avg. Length: 491.7
Frame: 1900000, Avg. Reward: -3.440, Avg. RL Loss: 0.008, Avg. Length: 491.9
Frame: 1950000, Avg. Reward: -3.370, Avg. RL Loss: 0.007, Avg. Length: 500.2
Frame: 2000000, Avg. Reward: -3.368, Avg. RL Loss: 0.007, Avg. Length: 512.0
Frame: 2050000, Avg. Reward: -3.410, Avg. RL Loss: 0.008, Avg. Length: 500.1
Frame: 2100000, Avg. Reward: -3.390, Avg. RL Loss: 0.007, Avg. Length: 482.4
Frame: 2150000, Avg. Reward: -3.330, Avg. RL Loss: 0.007, Avg. Length: 508.9
Frame: 2200000, Avg. Reward: -3.410, Avg. RL Loss: 0.007, Avg. Length: 495.6
